target,model,accuracy,balanced_accuracy,macro_f1,confusion,ridge_alpha,threshold_low,threshold_high,selection_data,C,rank2_weight_energy
true_label,ordinal_1d,0.6460905349794238,0.6207482993197279,0.6180051797481231,"[[61, 29, 8], [16, 24, 9], [3, 21, 72]]",100.0,0.7389541440660303,1.3585987176317156,validation,,
true_label,supervised_rank2,0.6707818930041153,0.6243622448979592,0.6240141748085898,"[[69, 15, 14], [14, 19, 16], [5, 16, 75]]",,,,,1.0,1.0
true_label,highdim_linear,0.6872427983539094,0.6415107709750568,0.6411368244162197,"[[70, 14, 14], [14, 20, 15], [5, 14, 77]]",,,,,0.01,
base_predicted_label,ordinal_1d,0.9218106995884774,0.9434712574247458,0.7757866846992078,"[[77, 9, 0], [3, 144, 7], [0, 0, 3]]",100.0,0.5164622268351642,1.3011101464791723,train_plus_validation_missing_val_class,,
base_predicted_label,supervised_rank2,0.9835390946502057,0.9896305245142454,0.9422433070851977,"[[85, 1, 0], [2, 151, 1], [0, 0, 3]]",,,,,0.1,1.0
base_predicted_label,highdim_linear,0.9835390946502057,0.9896305245142454,0.9422433070851977,"[[85, 1, 0], [2, 151, 1], [0, 0, 3]]",,,,,0.1,
