layer,grouping,n,n_A,n_B,n_C,hidden_dim,d_AB,d_BC,d_AC,direction_cosine,direction_cosine_ci_low,direction_cosine_ci_high,projection_t,residual,normalized_residual,normalized_residual_ci_low,normalized_residual_ci_high,sigma1,sigma2,sigma2_over_sigma1,sigma2_over_sigma1_ci_low,sigma2_over_sigma1_ci_high,predicted_C_centroid_warning
28,true_label,717,290,144,283,2048,5.92757316,6.04803017,11.3823802,0.806744187,0.52452248,0.887150653,0.494432845,1.86111153,0.310817164,0.23323422,0.481463847,8.04873066,1.51955865,0.188794819,0.138351673,0.316316258,False
28,base_predicted_label,717,248,462,7,2048,16.2392368,23.8373446,37.0834958,0.701696532,0.601007964,0.752843906,0.389285427,7.43726112,0.371152471,0.337862168,0.431979965,26.4472308,6.02078149,0.227652624,0.20335361,0.273715657,True
