layer,grouping,metric,estimate,ci_low,ci_high,n_bootstrap
28,true_label,direction_cosine,0.8067441870389412,0.5245224801555943,0.8871506532729576,1000
28,true_label,normalized_residual,0.3108171641154361,0.23323421986771617,0.48146384682162424,1000
28,true_label,sigma2_over_sigma1,0.18879481866889872,0.1383516726817421,0.3163162581999073,1000
28,base_predicted_label,direction_cosine,0.7016965322291067,0.6010079642852225,0.7528439063125878,1000
28,base_predicted_label,normalized_residual,0.37115247145589686,0.3378621677901111,0.43197996496321517,1000
28,base_predicted_label,sigma2_over_sigma1,0.22765262440489112,0.20335360980705505,0.2737156571363501,1000
